,0
0,1590.0
1,1590.0
2,1590.0
3,1590.0
4,1590.0
5,1590.0
6,1590.0
7,1590.0
8,1590.0
9,1590.0
10,1590.0
11,1590.0
12,1590.0
13,1590.0
14,1590.0
15,1590.0
16,1590.0
17,1590.0
18,1590.0
19,1590.0
20,1590.0
21,1590.0
22,1590.0
23,1590.0
24,1590.0
25,1590.0
26,1590.0
27,1590.0
28,1590.0
29,1590.0
30,1590.0
31,1590.0
32,1590.0
33,1590.0
34,1590.0
35,1590.0
36,1590.0
37,1590.0
38,1590.0
39,1590.0
40,1590.0
41,1590.0
42,1590.0
43,1590.0
44,1590.0
45,1590.0
46,1590.0
47,1590.0
48,1590.0
49,1590.0
50,1590.0
51,1590.0
52,1590.0
53,1590.0
54,1590.0
55,1590.0
56,1590.0
57,1590.0
58,1590.0
59,1590.0
60,1590.0
61,1590.0
62,1590.0
63,1590.0
64,1590.0
65,1590.0
66,1590.0
67,1590.0
68,1590.0
69,1590.0
70,1590.0
71,1590.0
72,1590.0
73,1590.0
74,1590.0
75,1590.0
76,1590.0
77,1590.0
78,1590.0
79,1590.0
80,1590.0
81,1590.0
82,1590.0
83,1590.0
84,1590.0
85,1590.0
86,1590.0
87,1590.0
88,1590.0
89,1590.0
90,1590.0
91,1590.0
92,1590.0
93,1590.0
94,1590.0
95,1590.0
96,1590.0
97,1590.0
98,1590.0
99,1590.0
100,1590.0
101,1590.0
102,1590.0
103,1590.0
104,1590.0
105,1590.0
106,1590.0
107,1590.0
108,1590.0
109,1590.0
110,1590.0
111,1590.0
112,1590.0
113,1590.0
114,1590.0
115,1590.0
116,1590.0
117,1590.0
118,1590.0
119,1590.0
120,1590.0
121,1590.0
122,1590.0
123,1590.0
124,1590.0
125,1590.0
126,1590.0
127,1590.0
128,1590.0
129,1590.0
130,1590.0
131,1590.0
132,1590.0
133,1590.0
134,1590.0
135,1590.0
136,1590.0
137,1590.0
138,1590.0
139,1590.0
140,1590.0
141,1590.0
142,1590.0
143,1590.0
144,1590.0
145,1590.0
146,1590.0
147,1590.0
148,1590.0
149,1590.0
150,1590.0
151,1590.0
152,1590.0
153,1590.0
154,1590.0
155,1590.0
